Title,Location,Land Area,No of Beds,No. of Baths,Price
For Sale Good Condition 05 Bed Double Unit House Of 01 Kanal In Sector A DHA Phase 2 Islamabad,"DHA Phase 2 - Sector A, DHA Defence Phase 2",1 Kanal,5,6,7.5 Crore
House for sale,"CBR Town Phase 1, CBR Town",8 Marla,5,5,2.4 Crore
5 Marla 3 Bedroom Brand New House On 80 Feet Road For Sale,"Bahria Enclave, Bahria Town",5 Marla,3,3,2.6 Crore
F-8 500 Square Yard Corner Livable Beautiful House 6 Bedroom With Attached Bathroom Drawing And Dining Tv Lounge Kitchen 2 Servant 2,"F-8, Islamabad",1 Kanal,6,6,25 Crore
A Decent House/ 2000 Sq Yards/ F-6/2 Is Available For Sale,"F-6/2, F-6",4 Kanal,8,6,1.5 Arab
2 Kanal Beautiful House With Basement For Sale,"DHA Defence Phase 1, DHA Defence",2 Kanal,6,9,26 Crore
14 Marla 8 Bedrooms 3 Unit House In DHA Phase 1 Sector F With Basement,"DHA Phase 1 - Sector F, DHA Defence Phase 1",14 Marla,9,6,5.25 Crore
10 Marla Beautiful House Available For Sale,"Bahria Enclave - Sector M, Bahria Enclave",10 Marla,5,6,3.85 Crore
Beautiful Elevation House Available For Sale,"Bahria Enclave - Sector C, Bahria Enclave",1 Kanal,5,6,10 Crore
Beautiful House Available For Sale,"Bahria Enclave - Sector H, Bahria Enclave",5 Marla,3,5,2.25 Crore
Elegant Design 1 Kanal Bungalow Up For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.75 Crore
Brand house for sale G13 ISLAMABAD 40*80,"G-13, Islamabad",14 Marla,8,,9 Crore
sawa garden housing sosite,"Swan Garden, Islamabad",10 Marla,6,6,3.2 Crore
Brand New House Sector C1 Extreme Top Location Bahria Enclave Islamabad,"Bahria Enclave - Sector C1, Bahria Enclave",10 Marla,5,6,4.45 Crore
5 Marla Single Story House For Sale in Bani Gala islamabad,"Bani Gala, Islamabad",5 Marla,2,3,1.15 Crore
House Available For Sale Sector N Corner Side Open Extreme Location Bahria Enclave Islamabad,"Bahria Enclave - Sector N, Bahria Enclave",8 Marla,4,6,3.2 Crore
10 Marla brand new house for sale in soan garden,"Soan Garden, Islamabad",10 Marla,6,6,3.6 Crore
Alma Emmar,"Emaar Canyon Views - Alma 1 Block, Emaar Canyon Views",14.5 Marla,4,5,4 Crore
"Ideal 2250 Square Feet House Has Landed On Market In Jinnah Gardens Phase 1, Islamabad","Jinnah Gardens Phase 1, Jinnah Gardens",10 Marla,6,6,3.5 Crore
5 Marla Brand New House Single Storey For Sale In Banigala,"Bani Gala, Islamabad",5 Marla,2,3,95 Lakh
2 Kanal Single Storey House On Main Bani Gala Road,"Bani Gala, Islamabad",2 Kanal,3,5,6 Crore
Triple Story Beautiful House In Ghauri Town VIP,"Ghauri Town - VIP Block, Ghauri Town",1.2 Kanal,6,6,3.6 Crore
House for sale G10/2 Trip store's with Extra land,"G-10/2, G-10",10 Marla,9,6,9 Crore
10 Marla Brand New Double Storey House For Sale In Soan Garden,"Soan Garden, Islamabad",10 Marla,6,6,3.6 Crore
10 Marla Brand New House For Sale,"Top City 1, Islamabad",10.1 Marla,6,6,4.25 Crore
Engineer built house for sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,9.25 Crore
Beautiful Kanal House for sale in f10 islamabad,"F-10, Islamabad",1 Kanal,6,6,20 Crore
Proper Basement And Corner House With Unique Amenities Top City 1,"Top City 1, Islamabad",10 Marla,6,6,5 Crore
2500 Square Yards An Excellent New House Is Available For Sale In F-6/2,"F-6/2, F-6",5 Kanal,10,6,1.6 Arab
A Decent House/ 1700 Sqyrds/ F-6 Is Available For Sale,"F-6, Islamabad",3.4 Kanal,6,6,1.5 Arab
5 Marla Beautiful House Available For Sale,"Bahria Enclave - Sector H, Bahria Enclave",5 Marla,3,5,2 Crore
Designer House Available For Sale,"Bahria Enclave - Sector C, Bahria Enclave",1 Kanal,5,6,9.5 Crore
Beautiful Grey Structure Available For Sale,"Bahria Enclave - Sector G, Bahria Enclave",8 Marla,5,6,2.35 Crore
1 Kanal Designer House Available For Sale,"Bahria Enclave - Sector C, Bahria Enclave",1 Kanal,8,6,7.75 Crore
8 Marla House Available For Sale,"Bahria Enclave - Sector G, Bahria Enclave",8 Marla,4,5,2.85 Crore
lignum tower,"Lignum Tower, DHA Defence Phase 2",6.2 Marla,2,3,2.25 Crore
Brand New 6 Bed 2 Unit House Avaliable,"DHA Phase 2 - Sector A, DHA Defence Phase 2",1 Kanal,6,6,10.9 Crore
AN OLD DEMOLISHA BLE HOUSE/ 533 SQYRDS/ F-10 IS AVAILABLE FOR SALE,"F-10, Islamabad",1.1 Kanal,5,5,15 Crore
25*40 Triple Storey House Available For Sale,"G-13, Islamabad",4 Marla,4,5,2.9 Crore
F 10 House Available 50 100 555sy 9 Bed With Bath 3 Story 2 Gate Close St,"F-10, Islamabad",1.1 Kanal,9,9,16.5 Crore
E-11 House Available 10 Marla 35 65 In Wide Street 70 Feet 5 Bed With Bath,"E-11, Islamabad",10 Marla,5,6,5.75 Crore
Book Prime Location House Today In G-13/1,"G-13/1, G-13",10 Marla,6,7,6.9 Crore
F-7 House for sale,"F-7, Islamabad",1.1 Kanal,6,6,30 Crore
8 marla house duble story for sale faisal town a block,"Faisal Town - F-18, Islamabad",8 Marla,4,6,2.5 Crore
7 Marla Brand New Double Unit House Available For Sale in Faisal Town F-18 Block A Islamabad.,"Faisal Town - F-18, Islamabad",7 Marla,4,5,2.8 Crore
fazaia Housing triple story one kanal House for sale,"Fazaia Housing Scheme, Tarnol",1.2 Kanal,9,6,7.46 Crore
Double story beautiful house,"Jinnah Gardens, FECHS",7 Marla,5,5,2.55 Crore
House for Sale in G15 size 12 marla Double story Brand new house near to markaz best location five options available,"G-15, Islamabad",12 Marla,7,6,4.85 Crore
A Good Option For Sale Is The House Available In Bani Gala In Bani Gala,"Bani Gala, Islamabad",1.8 Kanal,8,6,9.75 Crore
MPCHS Prime location house available for sale B 17 Islamabad,"MPCHS - Multi Gardens, B-17",8 Marla,4,6,2.9 Crore
Beautiful House For Sale,"Jinnah Gardens, FECHS",7 Marla,5,6,3.2 Crore
Corner House Need Urgent Payment,"Simly Dam Road, Islamabad",10 Marla,11,10,3.5 Crore
Corner House Need Urgent Payment,"Bhara kahu, Islamabad",15 Marla,11,10,3.5 Crore
AN EXCELLENT NEW HOUSE/ 2000 SQYRDS/ F-6/2 IS AVAILABLE FOR SALE,"F-6/2, F-6",4 Kanal,7,6,1.1 Arab
A DECENT HOUSE/ 2000 SQYRDS/ F-6/2 IS AVAILABLE FOR SALE,"F-6/2, F-6",4 Kanal,7,6,90 Crore
Beautiful Designer House Available For Sale,"Bahria Enclave - Sector A, Bahria Enclave",10 Marla,5,6,5.25 Crore
5 Marla Beautiful House Available For Sale,"Bahria Enclave - Sector B1, Bahria Enclave",5 Marla,3,5,2.35 Crore
"Beautiful House Available For Sale
Near to Main Entrance","Bahria Enclave, Bahria Town",10 Marla,5,6,3.95 Crore
11 Marla Front Open House For Sale In I-82,"I-8/2, I-8",11 Marla,6,6,9.25 Crore
3.8marla house for sale in DHA phase 2 Islamabad,"DHA Defence Phase 2, DHA Defence",3.8 Marla,3,3,2.67 Crore
F-7 Brand New House for sale,"F-7, Islamabad",1.3 Kanal,6,6,45 Crore
F-7 House for sale,"F-7, Islamabad",3.6 Kanal,5,6,82 Crore
F-7 House for sale,"F-7, Islamabad",1.8 Kanal,5,6,50 Crore
F-7 House for sale,"F-7, Islamabad",2 Kanal,4,5,41 Crore
Demolish Able 3 Kanal House Is For Sale,"F-6, Islamabad",3 Kanal,10,10,55 Crore
Beautiful House Is For Sale In F-6,"F-6, Islamabad",2 Kanal,6,7,41 Crore
F-7 Markaz Corner Commercial House Available Rented With Brand 14 Lacs Incoming Rent 37*37,"F-7 Markaz, F-7",10 Marla,3,3,35 Crore
F-8 House for sale,"F-8, Islamabad",2.1 Kanal,6,6,41.75 Crore
